game_id,drive,play_count,run_pct,pass_pct,success_rate,avg_epa,start_yardline,end_yardline,drive_result,field_pos_gain,cluster
2016_05_ATL_DEN,5.0,5,0.0,0.6,0.2,-0.7841393047012383,,,Punt,,2
2016_05_ATL_DEN,7.0,5,0.0,0.6,0.2,-0.42303872285410754,,,Punt,,2
2016_05_ATL_DEN,9.0,18,0.6111111111111112,0.2777777777777778,0.5,0.18810697537588178,,,Field goal,,1
2016_05_ATL_DEN,12.0,6,0.5,0.3333333333333333,0.5,0.010937808197921894,,,Punt,,0
2016_05_ATL_DEN,14.0,5,0.2,0.4,0.6,0.816387615699313,,,Touchdown,,1
2016_05_ATL_DEN,16.0,7,0.42857142857142855,0.42857142857142855,0.2857142857142857,-0.45941614632361777,,,Turnover,,0
2016_05_ATL_DEN,18.0,7,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.30068440143285047,,,Field goal,,1
2016_05_ATL_DEN,20.0,6,0.5,0.16666666666666666,0.5,-0.3315275021983943,,,Turnover on downs,,0
2016_05_ATL_DEN,22.0,2,0.3333333333333333,0.0,0.5,-0.022402926454864008,,,End of half,,0
2016_06_ATL_SEA,2.0,8,0.375,0.5,0.5,-0.10540657822275538,,,Punt,,1
2016_06_ATL_SEA,4.0,3,0.0,1.0,0.0,-1.6073671220607757,,,Turnover,,2
2016_06_ATL_SEA,6.0,6,0.14285714285714285,0.42857142857142855,0.2857142857142857,-0.221269424472537,,,Punt,,2
2016_06_ATL_SEA,8.0,12,0.3333333333333333,0.5833333333333334,0.5,0.14573939311473358,,,Field goal,,1
2016_06_ATL_SEA,10.0,6,0.3333333333333333,0.16666666666666666,0.16666666666666666,-0.5097154168761334,,,Punt,,0
2016_06_ATL_SEA,12.0,5,0.0,0.4,0.2,-0.10499017083784552,,,End of half,,2
2016_06_ATL_SEA,13.0,11,0.2727272727272727,0.5454545454545454,0.5454545454545454,0.5833004388881976,,,Touchdown,,1
2016_06_ATL_SEA,15.0,9,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.7445706986522035,,,Touchdown,,1
2016_06_ATL_SEA,17.0,8,0.125,0.625,0.875,0.9843017096992066,,,Touchdown,,1
2016_06_ATL_SEA,19.0,5,0.4,0.4,0.2,-0.4742007730994383,,,Punt,,0
2016_06_ATL_SEA,21.0,4,0.0,0.75,0.25,-0.8370631592988482,,,Turnover,,2
2016_06_ATL_SEA,23.0,5,0.0,0.8,0.0,-0.8793277313117877,,,Turnover on downs,,2
2016_07_SD_ATL,2.0,11,0.2727272727272727,0.5454545454545454,0.45454545454545453,0.11463307796723438,,,Field goal,,1
2016_07_SD_ATL,4.0,4,0.25,0.5,0.25,-0.5819471983704723,,,Field goal,,2
