game_id,drive,play_count,run_pct,pass_pct,success_rate,avg_epa,start_yardline,end_yardline,drive_result,field_pos_gain,cluster
2023_01_CAR_ATL,1.0,5,0.2,0.4,0.4,-0.6973087385762479,,,Punt,,2
2023_01_CAR_ATL,3.0,6,0.5,0.3333333333333333,0.5,-0.14732851549827872,,,Punt,,0
2023_01_CAR_ATL,5.0,4,0.2,0.4,0.4,0.3893552194303514,,,Touchdown,,2
2023_01_CAR_ATL,7.0,6,0.0,0.5,0.16666666666666666,-0.32210149755701417,,,Punt,,2
2023_01_CAR_ATL,9.0,8,0.25,0.25,0.375,-0.18810763797955574,,,Punt,,0
2023_01_CAR_ATL,11.0,4,0.25,0.75,0.25,-0.2324919460515963,,,End of half,,2
2023_01_CAR_ATL,13.0,5,0.2,0.4,0.2,-0.43627347322180887,,,Punt,,2
2023_01_CAR_ATL,15.0,4,0.75,0.0,0.5,-0.22676072124158947,,,Field goal,,0
2023_01_CAR_ATL,17.0,8,0.5555555555555556,0.2222222222222222,0.6666666666666666,0.5229493591960651,,,Touchdown,,1
2023_01_CAR_ATL,19.0,5,0.2,0.4,0.4,-0.20724105290137124,,,Punt,,2
2023_01_CAR_ATL,21.0,7,0.5714285714285714,0.2857142857142857,0.7142857142857143,0.6526632127984471,,,Touchdown,,1
2023_01_CAR_ATL,23.0,4,0.75,0.0,0.0,-0.702268918423215,,,Punt,,0
2023_01_CAR_ATL,25.0,1,0.5,0.0,0.0,0.0,,,End of half,,0
2023_02_GB_ATL,2.0,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,-1.0304163275286566,,,Turnover,,2
2023_02_GB_ATL,4.0,17,0.35294117647058826,0.47058823529411764,0.5294117647058824,0.07978068700279357,,,Field goal,,1
2023_02_GB_ATL,6.0,10,0.5,0.3,0.2,-0.34462672786321447,,,Turnover on downs,,0
2023_02_GB_ATL,8.0,13,0.46153846153846156,0.38461538461538464,0.6923076923076923,0.38503340603786107,,,Touchdown,,1
2023_02_GB_ATL,10.0,6,0.0,0.5,0.16666666666666666,-0.5146709635543322,,,Punt,,2
2023_02_GB_ATL,12.0,14,0.5714285714285714,0.2857142857142857,0.6428571428571429,0.10425110926319404,,,Field goal,,1
2023_02_GB_ATL,14.0,12,0.46153846153846156,0.15384615384615385,0.46153846153846156,0.4236351597248453,,,Touchdown,,1
2023_02_GB_ATL,16.0,8,0.625,0.25,0.5,0.11985480290604734,,,Field goal,,0
2023_02_GB_ATL,18.0,12,0.5833333333333334,0.3333333333333333,0.4166666666666667,0.14500576323674416,,,Field goal,,1
2023_02_GB_ATL,20.0,1,0.5,0.0,0.0,-1.30847604261362,,,End of half,,0
2023_03_ATL_DET,1.0,5,0.0,0.6,0.4,-0.4089805734343826,,,Punt,,2
2023_03_ATL_DET,3.0,7,0.2857142857142857,0.5714285714285714,0.14285714285714285,-0.38590776960232404,,,Punt,,2
